response_number,merged_theme,merged_theme_label,old_theme,quote
1,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,Something that acknowledges what might have happened in the night and then sets me up for the day step by step in a gentle warm and encouraging tone.
1,encouraging_support,Encouraging support,encouragement_reassurance,Something that acknowledges what might have happened in the night and then sets me up for the day step by step in a gentle warm and encouraging tone.
2,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,A clear guidance of what I need to do in the day and the right mindset for it
2,ritual_values_anchor,"Ritual, values, and mantra anchor",values_purpose,A clear guidance of what I need to do in the day and the right mindset for it
3,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,A good script with some encouragement and brief steps on what to do for the day. Nothing too hectic and overwhelming
3,encouraging_support,Encouraging support,encouragement_reassurance,A good script with some encouragement and brief steps on what to do for the day. Nothing too hectic and overwhelming
3,short_low_load,"Short, low-load format",brevity_adaptive_load,A good script with some encouragement and brief steps on what to do for the day. Nothing too hectic and overwhelming
4,encouraging_support,Encouraging support,encouragement_reassurance,My ideal mental rehearsal guidance to start the day would be a gentle voice telling me that everything will go well today
4,audio_ambient_delivery,Audio and ambient delivery,audio_ambience,My ideal mental rehearsal guidance to start the day would be a gentle voice telling me that everything will go well today
5,ritual_values_anchor,"Ritual, values, and mantra anchor",morning_ritual,I start by just showering and eating breakfast then taking the day one step at a time.
5,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,I start by just showering and eating breakfast then taking the day one step at a time.
6,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,"A clear step by step guide that can help me envision the day and plan and organise myself to make me feel productive from the beginning. Once that has been complete, emotional guidance and support would be perfect."
6,encouraging_support,Encouraging support,encouragement_reassurance,"A clear step by step guide that can help me envision the day and plan and organise myself to make me feel productive from the beginning. Once that has been complete, emotional guidance and support would be perfect."
7,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,Ideally it would be one that has a balance of guiding myself through my breath and mental energy throughout the day with timestamps as to what my overall day looks like as well as visualising success and how I would overcome obstacles if faced with them.
7,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,Ideally it would be one that has a balance of guiding myself through my breath and mental energy throughout the day with timestamps as to what my overall day looks like as well as visualising success and how I would overcome obstacles if faced with them.
7,obstacle_adaptive_coping,Obstacle and adaptive coping,obstacle_coping,Ideally it would be one that has a balance of guiding myself through my breath and mental energy throughout the day with timestamps as to what my overall day looks like as well as visualising success and how I would overcome obstacles if faced with them.
8,short_low_load,"Short, low-load format",brevity_adaptive_load,Something short and punchy. You don't need to fill up a whole page with complicated phrasing. Just give me a sentence or two instead of a long paragraph.
9,concrete_day_task_rehearsal,Concrete day/task rehearsal,task_visualization,A visualisation of what I want to achieve. A run down of my energy and how I might feel. A structured step by step guide of how I can achieve what I want.
9,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,A visualisation of what I want to achieve. A run down of my energy and how I might feel. A structured step by step guide of how I can achieve what I want.
10,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,"Begin by grounding in current energy, attention, and environment rather than an ideal state. Briefly connect the day's work to important values or goals. Rehearse the specific tasks that matter most, including key steps and likely obstacles. Visualize responding effectively to setbacks, uncertainty, or low energy. End with a realistic sense of readiness focused on the next actionable step rather than perfect performance."
10,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,"Begin by grounding in current energy, attention, and environment rather than an ideal state. Briefly connect the day's work to important values or goals. Rehearse the specific tasks that matter most, including key steps and likely obstacles. Visualize responding effectively to setbacks, uncertainty, or low energy. End with a realistic sense of readiness focused on the next actionable step rather than perfect performance."
10,ritual_values_anchor,"Ritual, values, and mantra anchor",values_purpose,"Begin by grounding in current energy, attention, and environment rather than an ideal state. Briefly connect the day's work to important values or goals. Rehearse the specific tasks that matter most, including key steps and likely obstacles. Visualize responding effectively to setbacks, uncertainty, or low energy. End with a realistic sense of readiness focused on the next actionable step rather than perfect performance."
10,obstacle_adaptive_coping,Obstacle and adaptive coping,obstacle_coping,"Begin by grounding in current energy, attention, and environment rather than an ideal state. Briefly connect the day's work to important values or goals. Rehearse the specific tasks that matter most, including key steps and likely obstacles. Visualize responding effectively to setbacks, uncertainty, or low energy. End with a realistic sense of readiness focused on the next actionable step rather than perfect performance."
10,short_low_load,"Short, low-load format",brevity_adaptive_load,"Begin by grounding in current energy, attention, and environment rather than an ideal state. Briefly connect the day's work to important values or goals. Rehearse the specific tasks that matter most, including key steps and likely obstacles. Visualize responding effectively to setbacks, uncertainty, or low energy. End with a realistic sense of readiness focused on the next actionable step rather than perfect performance."
11,concrete_day_task_rehearsal,Concrete day/task rehearsal,task_visualization,"Myself standing in front of the mirror, looking myself deep into my eyes and rehearsing all the tasks I have for the day."
12,short_low_load,"Short, low-load format",brevity_adaptive_load,"A short, calm rehearsal that connects to my actual tasks for the day. I want it to acknowledge my energy level, help me focus on the most important task ahead, and briefly visualize completing it successfully. I prefer realistic preparation over generic motivation, including likely obstacles and how to handle them. The guidance should be supportive, practical, and specific to my schedule so that I feel prepared rather than pressured."
12,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,"A short, calm rehearsal that connects to my actual tasks for the day. I want it to acknowledge my energy level, help me focus on the most important task ahead, and briefly visualize completing it successfully. I prefer realistic preparation over generic motivation, including likely obstacles and how to handle them. The guidance should be supportive, practical, and specific to my schedule so that I feel prepared rather than pressured."
12,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,"A short, calm rehearsal that connects to my actual tasks for the day. I want it to acknowledge my energy level, help me focus on the most important task ahead, and briefly visualize completing it successfully. I prefer realistic preparation over generic motivation, including likely obstacles and how to handle them. The guidance should be supportive, practical, and specific to my schedule so that I feel prepared rather than pressured."
12,obstacle_adaptive_coping,Obstacle and adaptive coping,obstacle_coping,"A short, calm rehearsal that connects to my actual tasks for the day. I want it to acknowledge my energy level, help me focus on the most important task ahead, and briefly visualize completing it successfully. I prefer realistic preparation over generic motivation, including likely obstacles and how to handle them. The guidance should be supportive, practical, and specific to my schedule so that I feel prepared rather than pressured."
12,encouraging_support,Encouraging support,encouragement_reassurance,"A short, calm rehearsal that connects to my actual tasks for the day. I want it to acknowledge my energy level, help me focus on the most important task ahead, and briefly visualize completing it successfully. I prefer realistic preparation over generic motivation, including likely obstacles and how to handle them. The guidance should be supportive, practical, and specific to my schedule so that I feel prepared rather than pressured."
13,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,"Start by noticing my body, senses, surroundings, and breathing.  Then move generally in to the tasks for the day.  Finally, returning to the body and breathing."
13,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,"Start by noticing my body, senses, surroundings, and breathing.  Then move generally in to the tasks for the day.  Finally, returning to the body and breathing."
14,encouraging_support,Encouraging support,encouragement_reassurance,validation and reassurance
15,ritual_values_anchor,"Ritual, values, and mantra anchor",morning_ritual,Warm up exercise
16,audio_ambient_delivery,Audio and ambient delivery,audio_ambience,an ideal rehearsal would be an ambient  background noise while  reading through some guidance .
16,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,an ideal rehearsal would be an ambient  background noise while  reading through some guidance .
17,low_information,Low-information / unclear,low_information,"I do not have any practical experience with this, so I can't share an opinion on this."
18,ritual_values_anchor,"Ritual, values, and mantra anchor",morning_ritual,"I don't have any, I usually start of my day with a morning prayer and move on with the rest of my day. I would say I would equate this to when I meditate that when I will go on to my soft playing music and meditate"
18,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,"I don't have any, I usually start of my day with a morning prayer and move on with the rest of my day. I would say I would equate this to when I meditate that when I will go on to my soft playing music and meditate"
18,audio_ambient_delivery,Audio and ambient delivery,audio_ambience,"I don't have any, I usually start of my day with a morning prayer and move on with the rest of my day. I would say I would equate this to when I meditate that when I will go on to my soft playing music and meditate"
19,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,taking a moment to reflect on what the day has for me
19,ritual_values_anchor,"Ritual, values, and mantra anchor",values_purpose,taking a moment to reflect on what the day has for me
20,audio_ambient_delivery,Audio and ambient delivery,audio_ambience,In an open space.
21,ritual_values_anchor,"Ritual, values, and mantra anchor",morning_ritual,"Meditation, followed by exercise, then showering, then doing my normal duties for the day"
21,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,"Meditation, followed by exercise, then showering, then doing my normal duties for the day"
21,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,"Meditation, followed by exercise, then showering, then doing my normal duties for the day"
22,ritual_values_anchor,"Ritual, values, and mantra anchor",morning_ritual,Doing exercises before the guidance
23,short_low_load,"Short, low-load format",brevity_adaptive_load,"Set the tone before touching anything else, run a 60.second reel and end with a body cue"
23,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,"Set the tone before touching anything else, run a 60.second reel and end with a body cue"
23,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,"Set the tone before touching anything else, run a 60.second reel and end with a body cue"
24,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,Step by step guidance
25,low_information,Low-information / unclear,low_information,My mental rehasals guide is not working on my side and everything is
26,audio_ambient_delivery,Audio and ambient delivery,audio_ambience,"A sound of calm music or rain sound to start my day would be perfect, with a little sunshine shining through the window with a view of the garden with beautiful flowers with different colours"
26,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,"A sound of calm music or rain sound to start my day would be perfect, with a little sunshine shining through the window with a view of the garden with beautiful flowers with different colours"
27,encouraging_support,Encouraging support,encouragement_reassurance,Having a good script that motivates and uplifts
28,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,Breathing in and out
29,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,I prefer clear prioritises and clear ideas of tasks to have a clear picture of the day. Some calm and quiet me time to think about my plan of action
29,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,I prefer clear prioritises and clear ideas of tasks to have a clear picture of the day. Some calm and quiet me time to think about my plan of action
30,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,"Take few seconds to check in with your body and be honest about the energy you’ve got today. Then picture one task getting done well enough to move on, and leave yourself with a simple line to come back to when you start."
30,concrete_day_task_rehearsal,Concrete day/task rehearsal,task_visualization,"Take few seconds to check in with your body and be honest about the energy you’ve got today. Then picture one task getting done well enough to move on, and leave yourself with a simple line to come back to when you start."
30,short_low_load,"Short, low-load format",brevity_adaptive_load,"Take few seconds to check in with your body and be honest about the energy you’ve got today. Then picture one task getting done well enough to move on, and leave yourself with a simple line to come back to when you start."
31,encouraging_support,Encouraging support,encouragement_reassurance,If it will be an encouraging voice with soft sounds
31,audio_ambient_delivery,Audio and ambient delivery,audio_ambience,If it will be an encouraging voice with soft sounds
32,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,Because the mind controls your body so if the mind is relaxing your body will relax too.
33,audio_ambient_delivery,Audio and ambient delivery,audio_ambience,Audio guided
34,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,"CALM,AND START WITH BREATHING"
34,short_low_load,"Short, low-load format",brevity_adaptive_load,"CALM,AND START WITH BREATHING"
35,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,I talk about the day ahead and how it is going to go to myself. It helps me focus and understand time and how to spend it.
36,audio_ambient_delivery,Audio and ambient delivery,audio_ambience,"Having to start the day with an audio message that reminds me of the activities I'm going to do, and then when I'm free being able to read that audio in writing."
36,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,"Having to start the day with an audio message that reminds me of the activities I'm going to do, and then when I'm free being able to read that audio in writing."
37,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,Medidation for 30 - 40 minutes making everything clear in my mind.
38,ritual_values_anchor,"Ritual, values, and mantra anchor",values_purpose,Remember what matters
39,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,something that focuses on helping me to set a calm and clear intention for the day is a win for me
39,ritual_values_anchor,"Ritual, values, and mantra anchor",values_purpose,something that focuses on helping me to set a calm and clear intention for the day is a win for me
40,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,"A calm moment, whether it is music or a sermon."
40,audio_ambient_delivery,Audio and ambient delivery,audio_ambience,"A calm moment, whether it is music or a sermon."
40,ritual_values_anchor,"Ritual, values, and mantra anchor",morning_ritual,"A calm moment, whether it is music or a sermon."
41,short_low_load,"Short, low-load format",brevity_adaptive_load,"Before i start my day, i want a short rehearsal that helps me focus on the most important work ahead."
41,concrete_day_task_rehearsal,Concrete day/task rehearsal,task_visualization,"Before i start my day, i want a short rehearsal that helps me focus on the most important work ahead."
42,encouraging_support,Encouraging support,encouragement_reassurance,"You will have a good day , if it gets to hard for you , get a time out , when you come back again the situation might not seem as hard as before . Just remember you are bigger than whatever you will face."
42,obstacle_adaptive_coping,Obstacle and adaptive coping,obstacle_coping,"You will have a good day , if it gets to hard for you , get a time out , when you come back again the situation might not seem as hard as before . Just remember you are bigger than whatever you will face."
43,ritual_values_anchor,"Ritual, values, and mantra anchor",morning_ritual,Reading a book
44,ritual_values_anchor,"Ritual, values, and mantra anchor",morning_ritual,"I think prayer, and a cup of coffee to mentally prepare myself for the day."
44,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,"I think prayer, and a cup of coffee to mentally prepare myself for the day."
45,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,Breaking down the day into steps that are easy to follow to prevent feeling overwhelmed.
45,obstacle_adaptive_coping,Obstacle and adaptive coping,obstacle_coping,Breaking down the day into steps that are easy to follow to prevent feeling overwhelmed.
46,encouraging_support,Encouraging support,encouragement_reassurance,"You are enough,  focused and very hard working. You make decisions that produces positive outcomes and that is enough for all the days."
47,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,"An overview of what is coming my way, how I'm going to tackle it and how I've already tackled days like today successfully."
47,obstacle_adaptive_coping,Obstacle and adaptive coping,obstacle_coping,"An overview of what is coming my way, how I'm going to tackle it and how I've already tackled days like today successfully."
47,encouraging_support,Encouraging support,encouragement_reassurance,"An overview of what is coming my way, how I'm going to tackle it and how I've already tackled days like today successfully."
48,encouraging_support,Encouraging support,encouragement_reassurance,Encouragement or a question on how I would like my day to go
48,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,Encouragement or a question on how I would like my day to go
49,calm_grounding_energy,Calm grounding and energy check-in,calm_grounding,"My ideal mental rehearsal guidance would help me feel calm, focused, and prepared before the day starts. It would begin with a short grounding moment, then guide me to picture my main priorities, the challenges I may face, and how I want to handle them."
49,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,"My ideal mental rehearsal guidance would help me feel calm, focused, and prepared before the day starts. It would begin with a short grounding moment, then guide me to picture my main priorities, the challenges I may face, and how I want to handle them."
49,obstacle_adaptive_coping,Obstacle and adaptive coping,obstacle_coping,"My ideal mental rehearsal guidance would help me feel calm, focused, and prepared before the day starts. It would begin with a short grounding moment, then guide me to picture my main priorities, the challenges I may face, and how I want to handle them."
49,ritual_values_anchor,"Ritual, values, and mantra anchor",values_purpose,"My ideal mental rehearsal guidance would help me feel calm, focused, and prepared before the day starts. It would begin with a short grounding moment, then guide me to picture my main priorities, the challenges I may face, and how I want to handle them."
50,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,Laying out my tasks for the day. Ordering them in terms of priority. Allowing for disruptions and giving myself enough options.
50,obstacle_adaptive_coping,Obstacle and adaptive coping,obstacle_coping,Laying out my tasks for the day. Ordering them in terms of priority. Allowing for disruptions and giving myself enough options.
51,ritual_values_anchor,"Ritual, values, and mantra anchor",values_purpose,"Reflect on accomplishments, reflect on capabilities, review the day ahead, review the tasks, anticipate obstacles, relax the mind"
51,concrete_day_task_rehearsal,Concrete day/task rehearsal,structured_day_planning,"Reflect on accomplishments, reflect on capabilities, review the day ahead, review the tasks, anticipate obstacles, relax the mind"
51,obstacle_adaptive_coping,Obstacle and adaptive coping,obstacle_coping,"Reflect on accomplishments, reflect on capabilities, review the day ahead, review the tasks, anticipate obstacles, relax the mind"
