response_number,theme,theme_label,quote
1,structured_day_planning,Structured day planning,Something that acknowledges what might have happened in the night and then sets me up for the day step by step in a gentle warm and encouraging tone.
1,encouragement_reassurance,Encouragement and reassurance,Something that acknowledges what might have happened in the night and then sets me up for the day step by step in a gentle warm and encouraging tone.
2,structured_day_planning,Structured day planning,A clear guidance of what I need to do in the day and the right mindset for it
2,values_purpose,"Values, purpose, and mantra",A clear guidance of what I need to do in the day and the right mindset for it
3,structured_day_planning,Structured day planning,A good script with some encouragement and brief steps on what to do for the day. Nothing too hectic and overwhelming
3,encouragement_reassurance,Encouragement and reassurance,A good script with some encouragement and brief steps on what to do for the day. Nothing too hectic and overwhelming
3,brevity_adaptive_load,Brevity and adaptive load,A good script with some encouragement and brief steps on what to do for the day. Nothing too hectic and overwhelming
4,encouragement_reassurance,Encouragement and reassurance,My ideal mental rehearsal guidance to start the day would be a gentle voice telling me that everything will go well today
4,audio_ambience,"Audio, voice, and ambience",My ideal mental rehearsal guidance to start the day would be a gentle voice telling me that everything will go well today
5,morning_ritual,Morning ritual integration,I start by just showering and eating breakfast then taking the day one step at a time.
5,structured_day_planning,Structured day planning,I start by just showering and eating breakfast then taking the day one step at a time.
6,structured_day_planning,Structured day planning,"A clear step by step guide that can help me envision the day and plan and organise myself to make me feel productive from the beginning. Once that has been complete, emotional guidance and support would be perfect."
6,task_visualization,Task/success visualization,"A clear step by step guide that can help me envision the day and plan and organise myself to make me feel productive from the beginning. Once that has been complete, emotional guidance and support would be perfect."
6,encouragement_reassurance,Encouragement and reassurance,"A clear step by step guide that can help me envision the day and plan and organise myself to make me feel productive from the beginning. Once that has been complete, emotional guidance and support would be perfect."
7,calm_grounding,Calm grounding,Ideally it would be one that has a balance of guiding myself through my breath and mental energy throughout the day with timestamps as to what my overall day looks like as well as visualising success and how I would overcome obstacles if faced with them.
7,structured_day_planning,Structured day planning,Ideally it would be one that has a balance of guiding myself through my breath and mental energy throughout the day with timestamps as to what my overall day looks like as well as visualising success and how I would overcome obstacles if faced with them.
7,task_visualization,Task/success visualization,Ideally it would be one that has a balance of guiding myself through my breath and mental energy throughout the day with timestamps as to what my overall day looks like as well as visualising success and how I would overcome obstacles if faced with them.
7,obstacle_coping,Obstacle coping,Ideally it would be one that has a balance of guiding myself through my breath and mental energy throughout the day with timestamps as to what my overall day looks like as well as visualising success and how I would overcome obstacles if faced with them.
8,brevity_adaptive_load,Brevity and adaptive load,Something short and punchy. You don't need to fill up a whole page with complicated phrasing. Just give me a sentence or two instead of a long paragraph.
9,task_visualization,Task/success visualization,A visualisation of what I want to achieve. A run down of my energy and how I might feel. A structured step by step guide of how I can achieve what I want.
9,calm_grounding,Calm grounding,A visualisation of what I want to achieve. A run down of my energy and how I might feel. A structured step by step guide of how I can achieve what I want.
9,structured_day_planning,Structured day planning,A visualisation of what I want to achieve. A run down of my energy and how I might feel. A structured step by step guide of how I can achieve what I want.
10,calm_grounding,Calm grounding,"Begin by grounding in current energy, attention, and environment rather than an ideal state. Briefly connect the day's work to important values or goals. Rehearse the specific tasks that matter most, including key steps and likely obstacles. Visualize responding effectively to setbacks, uncertainty, or low energy. End with a realistic sense of readiness focused on the next actionable step rather than perfect performance."
10,structured_day_planning,Structured day planning,"Begin by grounding in current energy, attention, and environment rather than an ideal state. Briefly connect the day's work to important values or goals. Rehearse the specific tasks that matter most, including key steps and likely obstacles. Visualize responding effectively to setbacks, uncertainty, or low energy. End with a realistic sense of readiness focused on the next actionable step rather than perfect performance."
10,values_purpose,"Values, purpose, and mantra","Begin by grounding in current energy, attention, and environment rather than an ideal state. Briefly connect the day's work to important values or goals. Rehearse the specific tasks that matter most, including key steps and likely obstacles. Visualize responding effectively to setbacks, uncertainty, or low energy. End with a realistic sense of readiness focused on the next actionable step rather than perfect performance."
10,task_visualization,Task/success visualization,"Begin by grounding in current energy, attention, and environment rather than an ideal state. Briefly connect the day's work to important values or goals. Rehearse the specific tasks that matter most, including key steps and likely obstacles. Visualize responding effectively to setbacks, uncertainty, or low energy. End with a realistic sense of readiness focused on the next actionable step rather than perfect performance."
10,obstacle_coping,Obstacle coping,"Begin by grounding in current energy, attention, and environment rather than an ideal state. Briefly connect the day's work to important values or goals. Rehearse the specific tasks that matter most, including key steps and likely obstacles. Visualize responding effectively to setbacks, uncertainty, or low energy. End with a realistic sense of readiness focused on the next actionable step rather than perfect performance."
10,brevity_adaptive_load,Brevity and adaptive load,"Begin by grounding in current energy, attention, and environment rather than an ideal state. Briefly connect the day's work to important values or goals. Rehearse the specific tasks that matter most, including key steps and likely obstacles. Visualize responding effectively to setbacks, uncertainty, or low energy. End with a realistic sense of readiness focused on the next actionable step rather than perfect performance."
