theme,quote
Audio/music/nature,My ideal mental rehearsal guidance to start the day would be a gentle voice telling me that everything will go well today
Audio/music/nature,"Having to start the day with an audio message that reminds me of the activities I'm going to do, and then when I'm free being able to read that audio in writing."
Audio/music/nature,an ideal rehearsal would be an ambient  background noise while  reading through some guidance .
Brevity,A good script with some encouragement and brief steps on what to do for the day. Nothing too hectic and overwhelming
Brevity,Something short and punchy. You don't need to fill up a whole page with complicated phrasing. Just give me a sentence or two instead of a long paragraph.
Brevity,"Before i start my day, i want a short rehearsal that helps me focus on the most important work ahead."
Calm start / breathing,My ideal mental rehearsal guidance to start the day would be a gentle voice telling me that everything will go well today
Calm start / breathing,I prefer clear prioritises and clear ideas of tasks to have a clear picture of the day. Some calm and quiet me time to think about my plan of action
Calm start / breathing,Something that acknowledges what might have happened in the night and then sets me up for the day step by step in a gentle warm and encouraging tone.
Emotional reassurance,My ideal mental rehearsal guidance to start the day would be a gentle voice telling me that everything will go well today
Emotional reassurance,A good script with some encouragement and brief steps on what to do for the day. Nothing too hectic and overwhelming
Emotional reassurance,Something that acknowledges what might have happened in the night and then sets me up for the day step by step in a gentle warm and encouraging tone.
Obstacle preparation,"You are enough,  focused and very hard working. You make decisions that produces positive outcomes and that is enough for all the days."
Obstacle preparation,"You will have a good day , if it gets to hard for you , get a time out , when you come back again the situation might not seem as hard as before . Just remember you are bigger than whatever you will face."
Other / uncoded,"An overview of what is coming my way, how I'm going to tackle it and how I've already tackled days like today successfully."
Other / uncoded,"Set the tone before touching anything else, run a 60.second reel and end with a body cue"
Other / uncoded,"I do not have any practical experience with this, so I can't share an opinion on this."
Prayer/meditation analogies,"Meditation, followed by exercise, then showering, then doing my normal duties for the day"
Prayer/meditation analogies,"I think prayer, and a cup of coffee to mentally prepare myself for the day."
Prayer/meditation analogies,"A calm moment, whether it is music or a sermon."
Step-by-step day planning,A good script with some encouragement and brief steps on what to do for the day. Nothing too hectic and overwhelming
Step-by-step day planning,I prefer clear prioritises and clear ideas of tasks to have a clear picture of the day. Some calm and quiet me time to think about my plan of action
Step-by-step day planning,Something that acknowledges what might have happened in the night and then sets me up for the day step by step in a gentle warm and encouraging tone.
Task focus / next action,"You are enough,  focused and very hard working. You make decisions that produces positive outcomes and that is enough for all the days."
Task focus / next action,I talk about the day ahead and how it is going to go to myself. It helps me focus and understand time and how to spend it.
Task focus / next action,"Myself standing in front of the mirror, looking myself deep into my eyes and rehearsing all the tasks I have for the day."
Values/intention grounding,something that focuses on helping me to set a calm and clear intention for the day is a win for me
Values/intention grounding,A clear guidance of what I need to do in the day and the right mindset for it
