sourceSheet,participantId,assignmentId,responseId,trialIndex,attentionCheckAnswer,attentionCheckCorrectAnswer,attentionCheckPassed,attentionCheckPassedParsed
responses,6a04f3c24f2207ef734cb3f0,13,6a04f3c24f2207ef734cb3f0:13:1,1,Keep an independent creative studio feeling self-directed.,Build calm clinical judgment by learning carefully without being harsh on herself.,0.0,False
responses_v2,698d20a041b53d5f1d94a807,14,698d20a041b53d5f1d94a807:14:1,1,"Keep a contained, steady pace because sleep was interrupted and stress is moderate.","Keep a contained, steady pace because sleep was interrupted and stress is moderate.",1.0,True
responses_v2,6a06ef45c0e11cb2af19dcc8,13,6a06ef45c0e11cb2af19dcc8:13:1,1,Build calm clinical judgment by learning carefully without being harsh on herself.,Build calm clinical judgment by learning carefully without being harsh on herself.,1.0,True
responses_v2,69138fc0acb88a6d2a6f8fb8,13,69138fc0acb88a6d2a6f8fb8:13:1,1,Build calm clinical judgment by learning carefully without being harsh on herself.,Build calm clinical judgment by learning carefully without being harsh on herself.,1.0,True
responses_v2,6a0dd14dced0272886a63723,6,6a0dd14dced0272886a63723:6:1,1,"Shape the client pitch narrative first, then finish exports and a small admin reminder.","Shape the client pitch narrative first, then finish exports and a small admin reminder.",1.0,True
responses_v2,6a1c8ced8108918772a64d6a,8,6a1c8ced8108918772a64d6a:8:1,1,Work with low but usable energy by using structure and one item at a time.,Work with low but usable energy by using structure and one item at a time.,1.0,True
responses_v2,6101ef1676d38820d1002ef5,4,6101ef1676d38820d1002ef5:4:1,1,"Turn care and justice into a clearer, more usable legal argument.","Turn care and justice into a clearer, more usable legal argument.",1.0,True
responses_v2,6a03118c92f5f6129247872e,9,6a03118c92f5f6129247872e:9:1,1,"Protect the argument-drafting block first, then handle logistics and co-counsel communication.","Protect the argument-drafting block first, then handle logistics and co-counsel communication.",1.0,True
responses_v2,69fe14bd91263588ebafdfa8,1,69fe14bd91263588ebafdfa8:1:1,1,Make self-directed creative choices that still become client-ready work.,Make self-directed creative choices that still become client-ready work.,1.0,True
responses_v2,6156fef09d1ab07148870099,9,6156fef09d1ab07148870099:9:1,1,"Protect the argument-drafting block first, then handle logistics and co-counsel communication.","Protect the argument-drafting block first, then handle logistics and co-counsel communication.",1.0,True
responses_v2,5ea9a6a68db51d0dfd2edfe2,13,5ea9a6a68db51d0dfd2edfe2:13:1,1,Build calm clinical judgment by learning carefully without being harsh on herself.,Build calm clinical judgment by learning carefully without being harsh on herself.,1.0,True
responses_v2,6951eec04697f5730cc515d5,3,6951eec04697f5730cc515d5:3:1,1,"Study the most important medication material first, then complete smaller class-readiness tasks.","Study the most important medication material first, then complete smaller class-readiness tasks.",1.0,True
responses_v2,6609619feb79146b62811775,10,6609619feb79146b62811775:10:1,1,Lead responsibly by making the team's next decisions clearer and less reactive.,Lead responsibly by making the team's next decisions clearer and less reactive.,1.0,True
responses_v1,6a20960d51be306905321627,6,6a20960d51be306905321627:6:1,1,"Protect the argument-drafting block first, then handle logistics and co-counsel communication.","Protect the argument-drafting block first, then handle logistics and co-counsel communication.",1.0,True
responses_v1,6a16f29307ad526defe39412,7,6a16f29307ad526defe39412:7:1,1,Build calm clinical judgment by learning carefully without being harsh on herself.,Build calm clinical judgment by learning carefully without being harsh on herself.,1.0,True
responses_v1,6a21b8b39a9df55f9fc9953f,7,6a21b8b39a9df55f9fc9953f:7:1,1,Build calm clinical judgment by learning carefully without being harsh on herself.,Build calm clinical judgment by learning carefully without being harsh on herself.,1.0,True
responses_v1,69a1ce874d4ba6506a55275b,2,69a1ce874d4ba6506a55275b:2:1,1,Work with low but usable energy by using structure and one item at a time.,Work with low but usable energy by using structure and one item at a time.,1.0,True
responses_v1,69f0c3af1b76da4c8140b0f3,7,69f0c3af1b76da4c8140b0f3:7:1,1,Build calm clinical judgment by learning carefully without being harsh on herself.,Build calm clinical judgment by learning carefully without being harsh on herself.,1.0,True
responses_v1,6a102c5e27d4800179f2e992,9,6a102c5e27d4800179f2e992:9:1,1,"Shape the client pitch narrative first, then finish exports and a small admin reminder.","Shape the client pitch narrative first, then finish exports and a small admin reminder.",1.0,True
responses_v1,60fcb280d58f26d33cb004a6,9,60fcb280d58f26d33cb004a6:9:1,1,"Shape the client pitch narrative first, then finish exports and a small admin reminder.","Shape the client pitch narrative first, then finish exports and a small admin reminder.",1.0,True
responses_v1,613dd5fb512aabe8d5d32393,4,613dd5fb512aabe8d5d32393:4:1,1,Make self-directed creative choices that still become client-ready work.,Make self-directed creative choices that still become client-ready work.,1.0,True
responses_v1,69f3b623f3f0c465fd02e0ee,2,69f3b623f3f0c465fd02e0ee:2:1,1,Work with low but usable energy by using structure and one item at a time.,Work with low but usable energy by using structure and one item at a time.,1.0,True
responses_v1,6a24b27eabc0ca8edcee677e,7,6a24b27eabc0ca8edcee677e:7:1,1,Build calm clinical judgment by learning carefully without being harsh on herself.,Build calm clinical judgment by learning carefully without being harsh on herself.,1.0,True
